open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date
79.0,79.4,77.6101,78.86,9414505.0,79.4,77.6101,78.86,79.0,9414505.0,1.0,0.0,NKE,XNYS,2024-12-03T00:00:00+0000
77.915,79.1,77.2,79.09,11221029.0,79.1,77.2,79.09,77.915,11221029.0,1.0,0.4,NKE,XNYS,2024-12-02T00:00:00+0000
78.2,79.18,78.03,78.37,7123471.0,79.18,78.03,78.37,78.2,7123471.0,1.0,0.0,NKE,XNYS,2024-11-29T00:00:00+0000
77.61,79.045,77.59,78.34,8713504.0,79.045,77.59,78.34,77.61,8713504.0,1.0,0.0,NKE,XNYS,2024-11-27T00:00:00+0000
78.9,78.9,77.573,77.61,9495649.0,78.9,77.573,77.61,78.9,9495649.0,1.0,0.0,NKE,XNYS,2024-11-26T00:00:00+0000
78.5,79.8599,78.41,79.26,18328919.0,79.8599,78.41,79.26,78.5,18328919.0,1.0,0.0,NKE,XNYS,2024-11-25T00:00:00+0000
76.125,77.5,75.83,77.4,12248575.0,77.5,75.83,77.4,76.125,12248575.0,1.0,0.0,NKE,XNYS,2024-11-22T00:00:00+0000
73.36,75.56,73.2,75.1,12818637.0,75.56,73.2,75.1,73.36,12818637.0,1.0,0.0,NKE,XNYS,2024-11-21T00:00:00+0000
73.66,73.84,72.71,73.36,12290317.0,73.84,72.71,73.36,73.66,12290317.0,1.0,0.0,NKE,XNYS,2024-11-20T00:00:00+0000
74.5,74.73,73.6,73.91,12028443.0,74.73,73.6,73.91,74.5,12028443.0,1.0,0.0,NKE,XNYS,2024-11-19T00:00:00+0000
76.16,76.2,74.25,74.89,12609186.0,76.2,74.25,74.89,76.16,12609186.0,1.0,0.0,NKE,XNYS,2024-11-18T00:00:00+0000
76.0,77.65,75.61,76.66,13584939.0,77.65,75.61,76.66,76.0,13584939.0,1.0,0.0,NKE,XNYS,2024-11-15T00:00:00+0000
76.68,76.98,75.67,75.68,6991574.0,76.98,75.67,75.68,76.68,6991574.0,1.0,0.0,NKE,XNYS,2024-11-14T00:00:00+0000
76.91,77.29,76.47,76.52,6835348.0,77.29,76.47,76.52,76.91,6835348.0,1.0,0.0,NKE,XNYS,2024-11-13T00:00:00+0000
76.46,77.43,76.14,76.66,9013905.0,77.43,76.14,76.66,76.46,9013905.0,1.0,0.0,NKE,XNYS,2024-11-12T00:00:00+0000
76.15,77.4,76.1,76.6,9877188.0,77.4,76.1,76.6,76.15,9877188.0,1.0,0.0,NKE,XNYS,2024-11-11T00:00:00+0000
75.5,76.555,75.25,75.88,8140788.0,76.555,75.25,75.88,75.5,8140788.0,1.0,0.0,NKE,XNYS,2024-11-08T00:00:00+0000
75.7,76.37,75.21,75.92,11831058.0,76.37,75.21,75.92,75.7,11831058.0,1.0,0.0,NKE,XNYS,2024-11-07T00:00:00+0000
76.87,76.95,75.12,75.32,16189795.0,76.95,75.12,75.32,76.87,16193704.0,1.0,0.0,NKE,XNYS,2024-11-06T00:00:00+0000
77.25,78.0,77.0,77.98,5629199.0,78.0,77.0,77.98,77.25,5629199.0,1.0,0.0,NKE,XNYS,2024-11-05T00:00:00+0000
77.99,78.55,77.115,77.19,6593781.0,78.55,77.115,77.19,77.99,6593781.0,1.0,0.0,NKE,XNYS,2024-11-04T00:00:00+0000
77.05,78.13,76.96,78.06,9623692.0,78.13,76.96,78.06,77.05,9623692.0,1.0,0.0,NKE,XNYS,2024-11-01T00:00:00+0000
76.2,77.34,75.2,77.13,13990086.0,77.34,75.2,77.13,76.2,13990086.0,1.0,0.0,NKE,XNYS,2024-10-31T00:00:00+0000
78.0,78.11,76.42,76.45,15691330.0,78.11,76.42,76.45,78.0,15691330.0,1.0,0.0,NKE,XNYS,2024-10-30T00:00:00+0000
78.88,79.47,78.2,78.4,7241111.0,79.47,78.2,78.4,78.88,7241111.0,1.0,0.0,NKE,XNYS,2024-10-29T00:00:00+0000
79.32,79.64,78.82,78.91,6617243.0,79.64,78.82,78.91,79.32,6617243.0,1.0,0.0,NKE,XNYS,2024-10-28T00:00:00+0000
79.22,79.58,78.5201,78.85,9385379.0,79.58,78.5201,78.85,79.22,9385379.0,1.0,0.0,NKE,XNYS,2024-10-25T00:00:00+0000
80.5,80.8,79.03,79.04,7424459.0,80.8,79.03,79.04,80.5,7424459.0,1.0,0.0,NKE,XNYS,2024-10-24T00:00:00+0000
81.0,81.0375,79.791,80.05,7253085.0,81.0375,79.791,80.05,81.0,7253085.0,1.0,0.0,NKE,XNYS,2024-10-23T00:00:00+0000
81.35,82.42,81.23,81.42,7308823.0,82.42,81.23,81.42,81.35,7308823.0,1.0,0.0,NKE,XNYS,2024-10-22T00:00:00+0000
82.85,83.09,81.44,81.48,7550197.0,83.09,81.44,81.48,82.85,7550197.0,1.0,0.0,NKE,XNYS,2024-10-21T00:00:00+0000
83.78,83.95,82.63,82.92,7214787.0,83.95,82.63,82.92,83.78,7214787.0,1.0,0.0,NKE,XNYS,2024-10-18T00:00:00+0000
84.11,84.762,83.38,83.4,9204490.0,84.762,83.38,83.4,84.11,9204490.0,1.0,0.0,NKE,XNYS,2024-10-17T00:00:00+0000
82.14,84.09,82.05,83.94,11220587.0,84.09,82.05,83.94,82.14,11220587.0,1.0,0.0,NKE,XNYS,2024-10-16T00:00:00+0000
81.05,82.72,81.05,82.12,11804387.0,82.72,81.05,82.12,81.05,11804387.0,1.0,0.0,NKE,XNYS,2024-10-15T00:00:00+0000
82.0,82.04,80.8,81.6,8177686.0,82.04,80.8,81.6,82.0,8177686.0,1.0,0.0,NKE,XNYS,2024-10-14T00:00:00+0000
82.04,82.27,81.18,82.15,10171112.0,82.27,81.18,82.15,82.04,10171112.0,1.0,0.0,NKE,XNYS,2024-10-11T00:00:00+0000
83.4,83.45,82.03,82.1,8370188.0,83.45,82.03,82.1,83.4,8370188.0,1.0,0.0,NKE,XNYS,2024-10-10T00:00:00+0000
81.14,82.925,81.07,82.45,11750639.0,82.925,81.07,82.45,81.14,11750639.0,1.0,0.0,NKE,XNYS,2024-10-09T00:00:00+0000
80.75,81.42,79.93,80.77,10569618.0,81.42,79.93,80.77,80.75,10569618.0,1.0,0.0,NKE,XNYS,2024-10-08T00:00:00+0000
82.14,82.47,80.09,80.83,12767399.0,82.47,80.09,80.83,82.14,12767399.0,1.0,0.0,NKE,XNYS,2024-10-07T00:00:00+0000
239.92,242.755,238.9003,242.65,37736685.0,242.76,238.9,242.65,239.81,38861017.0,1.0,0.0,AAPL,XNAS,2024-12-03T00:00:00+0000
237.27,240.79,237.16,239.59,42439900.0,240.79,237.16,239.59,237.27,48137103.0,1.0,0.0,AAPL,XNAS,2024-12-02T00:00:00+0000
234.81,237.81,233.97,237.33,28481400.0,237.81,233.97,237.33,234.81,28481377.0,1.0,0.0,AAPL,XNAS,2024-11-29T00:00:00+0000
234.465,235.69,233.8101,234.93,33498439.0,235.69,233.8101,234.93,234.465,33498439.0,1.0,0.0,AAPL,XNAS,2024-11-27T00:00:00+0000
233.475,235.57,233.475,235.06,44991117.0,235.57,233.33,235.06,233.33,45986189.0,1.0,0.0,AAPL,XNAS,2024-11-26T00:00:00+0000
231.46,233.25,229.74,232.87,89984500.0,233.245,229.74,232.87,231.46,90152832.0,1.0,0.0,AAPL,XNAS,2024-11-25T00:00:00+0000
228.06,230.72,228.06,229.87,38153300.0,230.7199,228.06,229.87,228.06,38168252.0,1.0,0.0,AAPL,XNAS,2024-11-22T00:00:00+0000
